id,statement,verification,fixed_evidence
ADBMS-PEC,A whole-segment PEC-invalid image shall invalidate that segment and pack authority,scenario,AMS/Core/Src/tasks/adbms_task.c
C0-CURRENT-BOOTSTRAP,The current path shall handle bootstrap precharge zero and sign stimuli without stale state,scenario,MiL/matlab/configs/scenarios/c0_bootstrap_current.m
C1-HPPC,HPPC excitation shall qualify estimator convergence polarization and R0 behavior,scenario,MiL/matlab/configs/scenarios/c1_hppc_bad_init.m
C2-LOW-SOC-SOP,Low-SoC discharge qualification shall exercise UV and SoC bindings,scenario,MiL/matlab/configs/scenarios/c2_low_soc_sop.m
C3-HIGH-SOC-SOP,High-SoC charge qualification shall exercise OV SoC and sign bindings,scenario,MiL/matlab/configs/scenarios/c3_high_soc_charge_sop.m
C4-HOT-WEAK,Hot weak-group qualification shall preserve the limiting-group response,scenario,MiL/matlab/configs/scenarios/c4_hot_weak_group.m
C5-SOH,SoH qualification shall include rest-excursion-rest capacity and resistance evidence,scenario,MiL/matlab/configs/scenarios/c5_soh_capacity_resistance.m
C6-FUSE,Fuse qualification shall replay a deterministic transient through production and reference models,scenario,Tools/fuse_replay/fuse_reference_oracle.c
C7-MEAS-FAULTS,Measurement qualification shall cover stale dropout frozen-value and sequence faults,scenario,MiL/matlab/configs/scenarios/c7_measurement_faults.m
C8-DYNAMIC,Dynamic qualification shall retain a reproducible 600 s profile,scenario,MiL/matlab/configs/scenarios/c8_dynamic_replay.m
CURRENT-BIAS,Current bias shall be bounded and its estimator effect reported,scenario,MiL/matlab/+mil/current_sensor_model.m
CURRENT-DROPOUT,Loss of either required current channel shall invalidate the current measurement,scenario,MiL/matlab/+mil/current_window_model.m
CURRENT-DUAL-RANGE,Dual-range disagreement shall be detected rather than silently selecting authority,scenario,AMS/Core/Src/ext_drivers/current_sensor.c
CURRENT-GAIN,Current gain error shall be injected deterministically and scored,scenario,MiL/matlab/+mil/current_sensor_model.m
CURRENT-IMPLAUSIBLE,ADC rail or implausible current data shall fail closed,scenario,AMS/Core/Src/ext_drivers/current_sensor.c
CURRENT-POLARITY,Positive discharge and negative charge polarity shall remain consistent end to end,scenario,AMS/Core/Src/ext_drivers/current_sensor.c
CURRENT-SATURATION,Hall or ADC saturation shall not produce a valid unrestricted current value,scenario,MiL/matlab/+mil/current_sensor_model.m
CURRENT-ZERO-INVALID,Invalid current measurements shall never be accepted as zero calibration,host regression,AMS/host_tests/unit/ams_unit_test_runner.c
EKF-ACQ-FAULT-RECOVERY,A coherently biased segment shall be rejected by acquisition consensus without blocking healthy peers and shall reacquire after clean data returns without relaxing the clean convergence gate,scenario,MiL/matlab/+mil/+metrics/production_acquisition_fault_recovery.m
EKF-ACQUISITION,Production startup estimation shall prevent unconstrained SoC/polarization allocation and use retryable consensus-gated fixed-basis relaxation acquisition when a qualified low-current window is available,host plus scenario,AMS/Core/Src/estimator/ams_soc_ekf.c
EKF-CONVERGENCE,Each of five segment EKFs shall converge from directed initial SoC error,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-COVARIANCE,Production estimation shall retain the full symmetric SoC Vp1 Vp2 covariance fail closed on invalid covariance and expose prior innovation variance for production NIS and state NEES scoring,host plus scenario,AMS/Core/Src/estimator/ams_soc_ekf.c
EKF-CURRENT-ROBUSTNESS,Estimator behavior under current uncertainty shall be bounded and reported,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-DT,Estimator behavior under bounded timing jitter shall remain numerically valid,scenario,MiL/matlab/+mil/+reference/run_segment_ekf.m
EKF-HIGH-SOC,High-SoC estimation shall remain bounded through charge transitions,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-IMBALANCE,Five segment estimators shall preserve segment isolation under group imbalance,scenario,MiL/matlab/+mil/build_truth_bus.m
EKF-INNOVATION,Innovation bias rejection and variance shall be reported for every segment,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-LONG-DURATION,Long-duration estimator execution shall have zero numerical divergence,scenario,MiL/matlab/+mil/+metrics/numeric_health.m
EKF-LOW-SOC,Low-SoC estimation shall remain bounded near the discharge limit,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-NIS,Scalar normalized innovation squared shall use the estimator innovation variance,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-NOMINAL,Nominal five-segment SoC error shall meet frozen RMSE p95 and maximum gates,scenario,MiL/matlab/+mil/+metrics/ekf.m
EKF-R0,R0 adaptation shall be scored while observable and checked for drift while unobservable,scenario,MiL/matlab/+mil/+metrics/production_ekf.m
EKF-TEMP,Estimator behavior shall be qualified at directed temperature corners,scenario,MiL/matlab/configs/scenarios/cold_5c.m
EKF-TEMP-CONFIDENCE,Estimator confidence floors shall react conservatively to measured temperature near the characterized electrical LUT edges and temperature cases shall report production NIS and state NEES,host plus scenario,AMS/Core/Src/estimator/ams_soc_ekf.c
ENDURANCE,Endurance replay shall retain deterministic provenance and numerical health,scenario,MiL/matlab/configs/scenarios/endurance_replay.m
FAIL-CLOSED,Invalid stale or untrusted measurement images shall not create additional authority,scenario,MiL/matlab/+mil/+metrics/fault_behavior.m
FUSE-CONSERVATIVE,Production fuse utilization shall not understate the independent exact-ZOH reference,host plus scenario,Tools/fuse_replay/fuse_reference_oracle.c
MEAS-STALE,Stale acquisition shall retain its last value while age and freshness invalidate it,scenario,MiL/matlab/+mil/apply_sensor_faults.m
MEAS-VALIDITY,Usable masks ages and validity shall control the published measurement image,scenario,MiL/matlab/+mil/build_measurement_bus.m
NUMERIC,Valid operation shall contain no NaN Inf negative variance or divergent state,scenario,MiL/matlab/+mil/+metrics/numeric_health.m
QUALIFY-BURST,Short qualifying-style current bursts shall exercise transient power behavior,scenario,MiL/matlab/configs/scenarios/qualifying_bursts.m
SOH-CAPACITY,Capacity SoH shall be scored independently from resistance growth,scenario,MiL/matlab/+mil/+metrics/production_soh.m
SOH-CAPACITY-OBSERVABILITY,Capacity SoH shall remain invalid until rest excursion throughput and confidence requirements are met,scenario,AMS/Core/Src/soh/ams_soh.c
SOH-FALSE-AGING,Temperature-only resistance change shall not create persistent material aging,scenario,MiL/matlab/+mil/+metrics/production_soh.m
SOH-INDEPENDENCE,Capacity fade and resistance growth shall be varied and scored independently,scenario,MiL/matlab/configs/scenarios/soh_resistance_only.m
SOH-RESISTANCE,Resistance growth and conservative upper bound shall be scored when observable,scenario,MiL/matlab/+mil/+metrics/production_soh.m
SOH-TEMPERATURE-CONFOUND,Temperature-dependent resistance shall be distinguished from irreversible aging,scenario,MiL/matlab/configs/scenarios/soh_temperature_confound.m
SOP-0P1S,The 0.1 s SoP horizon shall be scored against the distributed oracle,scenario,MiL/matlab/+mil/+oracle/sop_snapshot.m
SOP-1S,The 1 s SoP horizon shall be scored against the distributed oracle,scenario,MiL/matlab/+mil/+oracle/sop_snapshot.m
SOP-ACQUISITION-AUTHORITY,Production SoP authority shall fail closed while any enabled segment estimator has not completed qualified acquisition,host,AMS/Core/Src/sop/ams_sop.c
SOP-CHARGE,Charge SoP shall use negative current convention and magnitude-safe comparison,scenario,MiL/matlab/+mil/+metrics/sop.m
SOP-CHARGE-TEMP,Charge SoP shall enforce minimum and maximum temperature limits,scenario,MiL/matlab/+mil/+oracle/sop_snapshot.m
SOP-FUSE-ENVELOPE,The truth discharge envelope shall report electrothermal fuse and combined limits,scenario,MiL/matlab/+mil/+oracle/sop_campaign.m
SOP-HORIZONS,SoP shall cover 0.1 1 10 and 30 s horizons with monotonic diagnostics,scenario,MiL/matlab/+mil/+oracle/sop_snapshot.m
